Etablissement nom;Classification;Adresse;Code postal;Commune;Tarifs;Périodes (textuelles);Description fr
Justice.s;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 39.00 à 69.00;Le 29/03/2021 : de 19h00 à 19h50;"Francis Cabrel de retour avec “A l’aube revenant”...
 Avec l’accent chantant de son Sud-Ouest natal, l’homme d’Astaffort a insufflé une fraîcheur certaine à la chanson grâce à ses mélodies, sa guitare et sa tendresse… Il nous faudra attendre plus de cinq ans pour savourer le prochain album après l’excellent « In Extremis », sorti en 2015, aux sonorités très folks et aux propos à la fois engagés et intimistes. Avec, à son actif, près de vingt millions d’albums vendus en quarante ans de carrière, Francis Cabrel démarrera sa nouvelle tournée qui présentera ses chansons inédites mais aussi ses titres emblématiques.
 ATTENTION : Ouverture des ventes le 30.11 – 12h
 Cet événement est organisé par le Théâtre Royal de Mons et Mars - Mons arts de la scène
 

 ////
 Offre spéciale visa pour la venue exclusive de Francis Cabrel à Mons !
 En tant que détenteur·rice d’un visa Mars, nous vous avons réservé un quota d’une centaine de places par soir avec une réduction de 10€. Pour en bénéficier, il vous suffit de réserver par mail à public@surmars.be, par téléphone au 065/39.59.39 (Mars) ou au 065/33.55.80 (visitMons).
 ATTENTION : ouverture des ventes lundi 30 novembre à midi !
 ////
 

 23, 24 et 25.03.21
 20h
 Théâtre Royal
 Ouverture des ventes le 30.11 – 12h
 Cat 1 : 69€ (plein) ou 59 € (réduit)
 Cat 2 : 65€ (plein) ou 55 € (réduit)
 Cat 3 : 59 € (plein) ou 49 € (réduit)
 Cat 4 : 49 € (plein) ou 39 € (réduit)"
Danser la terre;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 29.00 à 39.00;Le 01/04/2021 : de 20h00 à 21h00;Retrouvez Laurent Baffie dans son tout nouveau spectacle « Laurent Baffie se pose des questions » ! En tournée dans toute la France, Suisse et Belgique.
Le Petit Orchestre du Grand Soir;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 39.00 à 55.00;Le 02/04/2021 : de 20h00 à 21h00;
Salvatore Adamo;Spectacle;Grand-Place;7000;Mons;Gratuité :;Le 03/04/2021 : de 20h00 à h;"Qu’est-ce qu’être juste ?
 Comment les valeurs d’une société et la place de l’individu influencent-ils le système judiciaire et les règles sociales ? Que cherche-t-on en appliquant une peine ? Venez découvrir la première étape de ce troisième et dernier volet (Justice.s), dont la riche matière documentaire est tirée des rencontres réalisées par les 4 co-auteurs·rices / interprètes à travers différents pays du monde (Nouvelle Calédonie, Japon, France, Belgique, Grèce et Québec).
  
  De Vincent Collet.
 Le joli collectif
 Depuis 2018, l’équipe du projet Pouvoir / Ou pas réunie autour de Vincent Collet travaille sur un triptyque interrogeant les dimensions du ou des pouvoir(s) individuel(s) et collectif(s).
  
  Découvrez le premier volet du triptyque, AVEUGLES, le mardi 30 mars à l’occasion de l’éco-festival Demain.
 

  
 Dans le cadre de l’Éco-festival Demain programmé du 24 mars au 3 avril sur Mars."
Dave;Spectacle;Grand Place;7000;Mons;Gratuité :;Le 10/04/2021 : de 20h00 à h;Comme chaque année, dans une ambiance conviviale et déjantée, quatre lutteur·se·s amoureux·sesdes mots vont s’affronter deux par deux sur le ring, clavier en main! Journalistes, écrivain·e·s, auteur·rice·s, chroniqueur·euse·s ou slameur·euse·s: ils ont trois minutes par combat pour terrasser leur adversaire sur des thèmes imposés! Devant eux, un public survolté mais concentré lit leurs textes en direct, prêt à voter pour le meilleur.
Fairy tales;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 20/04/2021 : de 20h00 à 21h00;"La force d’un rêve
 Cette création met en lumière la bouleversante histoire de Brandy Kitoso, jeune réfugié congolais victime des plus terribles sévices et injustices. Une série de rencontres vont éclairer le destin de cet improbable survivant de la folie humaine. Son histoire et son talent mobilisent des artistes – dont Cyril Dion – qui font en sorte de porter en scène le message de Brandy : nous rendre sensibles aux blessures que nous infligeons à la nature.
  
  De Brandy Kitoso, Gilles Vernet et Jean-Paul Dessy.
  Soutenu par le Synergie Business Club.
  
 Dans le cadre de l’Éco-festival Demain programmé du 24 mars au 3 avril sur Mars."
Félix Radu;Spectacle;Grand-Place;7000;Mons;"Adulte : de 10 à 10.00,
Enfant : 2.00,
Sénior : 6.00";Le 23/04/2021 : de 20h00 à h;"À l'occasion de l'exposition ""Johan Muyle. No Room for Regrets"", participez le 18 avril à la visite guidée par Denis Gielen, directeur du MACS et commissaire de l'exposition. !!! Cet événement est susceptible d'être annulé ou reporté en fonction des mesures sanitaires en vigueur !!! Gratuit moyennant le paiement du droit d'entrée aux expositions Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902"
Désobéir - dans le cadre du focus Guerrières;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 27/04/2021 : de 20h00 à 21h15;"Grandeur et décadence de l’empire théâtral
 C’est l’été, Lucie est en vacances. Dans ses rêveries, songeant à son métier d’actrice, elle s’imagine à cheval et en armure. Perdant sa monture, elle croise deux autres « chevaleresses » errant dans le même songe… Mêlant théâtre et cinéma, cette fantaisie médiévale propose autant un portrait de trois actrices qu’un questionnement sur leur pratique. À travers cette fable sur le monde du spectacle, Claude Schmitz nous entraîne dans un univers merveilleusement atypique, iconoclaste et drôle.
  
  De Claude Schmitz.
 Autour du spectacle…
 Mar 20
  — à l’issue du spectacle : Bord de scène avec l’équipe artistique"
Yannick Noah;Spectacle;Grand Place;7000;Mons;Adulte : de 15.00 à 20.00;Le 27/04/2021 : de 20h00 à h;"L’ORCW et Eliane Reyes plongent dans la jeunesse des génies
 L’aube du 19e siècle voit la naissance de plusieurs grands maîtres : Mendelssohn, Schumann, Chopin, Listz… Vahan Mardirossian a sélectionné des oeuvres de jeunesse de deux de ces monstres sacrés : la Symphonie n° 9 de Mendelssohn, écrite entre ses 12 et 14 ans, et le Concerto pour piano créé par Chopin lors de son premier concert public, à Varsovie, en 1830, alors qu’il vient de fêter ses 20 ans ! Avec au piano une complice fidèle, la talentueuse Eliane Reyes.
  
 Vahan Mardirossian, direction. ORCW.
 Eliane Reyes, piano.
 Programme :
 

 Frédéric Chopin : Concerto pour Piano n°2 en Fa mineur, op.21
 Félix Mendelssohn : Symphonie pour cordes n°9 en Do Majeur, MWV N9 Avant le spectacle…
 19h10 → 19h40
 Micro-prestation dans le Passage des Rumeurs par les élèves de l’Académie de musique, de danse et des arts de la parole de la Ville de Mons."
Exil;Spectacle;138 Rue de Nimy;7000;Mons;Gratuité :;Le 10/05/2021 : de 20h00 à 21h00;"Décoloniser l’intime !
 Comment le politique s’invite-t-il jusque dans nos lits ? Installées sur un lit, Lucile Choquet et Bwanga Pilipili invitent tour à tour, pour un tête-à-tête décolonial une personne racisée à échanger avec elles. Le panel des invité·e·s est large : un·e spectateur·rice, un·e piéton·ne, un·e membre de l’équipe du lieu accueillant et un·e artiste européen·ne ou non, de passage dans la ville accueillant la performance. Pour donner corps à la résistance (in)visible face à la colonialité du pouvoir…
  
 De Lucile Choquet.
 

 Dans le cadre du Focus Guerrières programmé du mardi 27 au jeudi 29 avril sur Mars."
Quatuor Bozzini;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : 5.00;Le 18/05/2021 : de 20h00 à 21h00;"Un démarrage gonflé à Block !
 Pour lancer le festival sur les chapeaux de roues, rien de tel qu’une soirée en mode Block Party. À l’origine, fête de quartier réunissant toutes les disciplines du Hip-Hop, cette soirée d’ouverture rassemble des artistes et sportif·ve·s passionné·e·s, locaux·les et internationaux·ales, dans une ambiance explosive. Battle de break, démos de skate et BMX, concerts Hip-Hop, beatbox, graff… Venez prendre part à cette grande fête au coeur de la Maison Folie.
  
  Soirée organisée par Out of control et About it.
 Programme : 
 

  FabreCollectiv (Leuven), R2F (Mons), Penkyx, Aeon, Seckilla
  —
  Basket, BMX, skate, battle
  —
  Foodtruck 
  
 Dans le cadre du Mons Street Festival, programmé sur Mars du samedi 07 au samedi 21 novembre."
Jean-Marie Bigard;Spectacle;Grand-Place;7000;Mons;;Le 20/05/2021 : de 20h00 à h;
Frédéric François;Spectacle;Grand Place;7000;Mons;;Le 19/06/2021 : de 20h00 à h;"La situation sanitaire actuelle encore fragile et l'absence de perspectives précises quant à la réouverture des salles de cinéma ne permettent malheureusement pas de donner aujourd'hui toutes les garanties à la bonne organisation de la 36ème édition du Festival International du Film de Mons aux dates initialement prévues du 5 au 12 mars.
 

 Plutôt que de prendre déjà rendez-vous en 2022 ou de proposer une version du festival avec des films en streaming, nous faisons le choix du report afin de donner toutes ses chances à l'événement de pouvoir se partager et se vivre cette année dans les salles de cinéma.
 

 Les nouvelles dates du Festival de Mons 2021 sont fixées du 21 au 28 mai.
 Ce créneau n'est bien sûr pas une certitude absolue mais un grand espoir.
 

 Comme l'ensemble du secteur de la culture, le cinéma aura été durement impacté par cette pandémie au point que tout son écosystème connaîtra d'inévitables reconfigurations dans les prochaines années. Dans ce contexte, la salle de cinéma devra rester l'espace privilégié de découverte des films, ce à quoi nous œuvrerons avec toute notre énergie.
 

 Si l'amour du cinéma est notre moteur, la sécurité des spectateurs et des invités est, dans le contexte actuel, notre priorité. Nous nous préparions à accueillir les festivaliers dans le respect des règles en vigueur début mars, nous serons également prêts à les accueillir dans les meilleures conditions fin mai.
 

 Nous remercions tous nos partenaires privés et publics et nos collaborateurs extérieurs pour leur fidélité, le soutien qu'ils nous apportent et leur enthousiasme à la proposition de reporter le festival cette année dans le calendrier.
 

 Nous vous donnons donc rendez-vous pour ce qui sera alors l'un des premiers événements cinématographiques en Fédération Wallonie-Bruxelles en 2021 et une édition printanière inédite du Festival de Mons."
Compromis;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 23/09/2021 : de 20h00 à h;"Un parcours auditif sensible inspiré par la nature
 Spectacle musical mêlant compositions originales et pièces baroques, Les Vies Gigognes explore les vies cachées contenues dans la vie. Conçue comme un cabinet de curiosités sonores, cette promenade sensorielle dévoile un monde fantastique dans lequel les êtres de la nature semblent s’animer pour ouvrir nos perceptions au-delà du réel. Là où les styles se mélangent, Laure Stehlin laisse éclore les textures et les mondes possibles.
  
  Laure Stehlin, flûtes, voix, percussions."
Lynda Lemay;Spectacle;Grand'Place;7000;Mons;Adulte : de 39.50 à 49.50;Le 13/10/2021 : de 20h30 à h;Six années après Le cadeau, Maxime Le Forestier revient avec un nouvel album, Paraitre ou ne pas être, et une nouvelle tournée. L'artiste sera en concert cet hiver pour trois dates sur les scènes belges : au Cirque Royal de Bruxelles, au Forum de Liège, et au Palais des Beaux-Arts de Charleroi. Le jeune Maxime Le Forestier sort en 1972 son premier album qui comprend des titres mythiques comme «San Francisco», «Mon Frère» ou «Parachutiste». Il s’en écoulera plus d’un million d’exemplaires devenant ainsi la bande-son culte de toute une génération. Suivront des années consacrées à écrire pour d’autres, divers hommages à Brassens et à la fin des années 80 les fabuleux «Né Quelque Part» et «Ambalaba». Au printemps 2013 parait le quinzième opus du chanteur. Joliment intitulé «Le Cadeau», il est l’écrin de dix titres subtilement arrangés par Patrice Renson à qui l’on doit les fins réglages de «Restons amants». Le cadeau, c’est surtout celui que lui ont fait des artistes comme Julien Clerc, Manu Galvin, Sébastien Quezada, Pierre Grosz, Claude Lemesle ou Jacques Weber qui ont écrit des musiques magnifiques et des textes éminemment poétiques et évocateurs.
Patrick Fiori;Spectacle;Grand-Place;7000;Mons;Adulte : de 29 à 38;Le 30/10/2021 : de 20h00 à h;"Après 3 one man shows et près de 400 000 spectateurs dans toute la France, Arnaud Tsamère revient en 2020 avec un nouveau spectacle. 
  
  ""Pour mon nouveau spectacle, retraçant les 4 dernières années de ma vie et qui pourrait se résumer à la question « comment faire rire quand on tombe lentement dans la dépression ? » on m’a demandé de faire un pitch"" : 
  Arnaud Tsamere + 1 épouse = 1 mariage - 1 épouse = 1 divorce + 1 autre épouse = 2 mariages + 1 enfant + le départ de la nouvelle épouse = 2 divorces + une garde alternée + la mort du père - la motivation = 4 ans de dépression + la renaissance + 1 œuf au plat = le spectacle de la maturation. 
  
  On connait mieux Arnaud Tsedri sous le nom d'Arnaud Tsamère. Le Bordelais diplômé en droit fera d'abord une escale en tant que salarié pour une entreprise d’exportation de fournitures scolaires avant de se tourner vers l'humour. 
  Au début des années 2000, il rejoint une troupe d’improvisation théâtrale, Déclic Théâtre. Il écrit son 1er spectacle ""Réflexions profondes sur pas mal de trucs"" et se produit d'abord en salle puis en festival. En 2005, c'est le costume de Mr Météo qu'il endosse pour Le Grand Journal de Canal+. Sa carrière d’humoriste sera réellement lancée grâce à l’émission de Laurent Ruquier, ""On n’demande qu’à en rire"". Arnaud Tsamère fait de l’improvisation sa spécialité et adopte l’humour absurde pour se faire une place dans le monde des humoristes. 
  En 2011, Arnaud Tsamère écume les scènes de France et de Belgique avec son deuxième one-man-show ""Chose promise"". On le retrouve depuis de façon ponctuelle comme invité dans de nombreuses émissions télévisées comme ONDAR Show, Vendredi tout est permis ou L’Équipe du soir. 
  En 2015, il passe aux commandes de l'émission Une famille en Or diffusée sur TMC et réalise son 3ème spectacle ""Confidences sur pas mal de trucs plus ou moins confidentiels"". 
  Arnaud Tsamère est également un homme de radio. Depuis 2011, on a pu le retrouver dans des programmes sur Europe 1, BEL RTL, et plus récemment sur RTL2."
Une vie;Spectacle;Grand Place;7000;Mons;Adulte : de 39.00 à 69.00;Le 12/11/2021 : de 20h00 à h;Présente dans le paysage musical depuis le début des années 1990, l’auteure-compositrice-interprète Lynda Lemay s’est fait connaitre avec sa poésie du quotidien, parfois amusante, souvent touchante. C’est avec l’album Live, sorti en 1999, que la carrière de l’artiste décolle en flèche jusque de l’autre côté de l’Atlantique, récoltant au passage un disque de platine. L’auteur de Le plus fort, c’est mon père cumule depuis les récompenses et les tournées, toujours accompagnées de sa fidèle guitare et de sa plume singulière
Hélène Segara;Spectacle;Grand-Place;7000;Mons;Adulte : de 29.00 à 39.00;Le 20/11/2021 : de 20h00 à h;Entouré par un artiste multi-instrumentiste, Alain Chamfort survolera tout en douceur plus de 50 ans de carrière. De Claude François à Serge Gainsbourg, de Jacques Duvall à Pierre-Dominique Burgaud, Alain Chamfort revisitera, sur des arrangements de Johan Dalgaard, les titres incontournables de sa carrière. En toute simplicité. Entre amis.
Formidable Aznavour;Spectacle;Grand Place;7000;Mons;;Le 11/12/2021;
