Nom;Adresse;Contact Etablissement - Code postal;Commune;Téléphone 1;Téléphone 2;Fax;Site web;Email;Description
Les Jardins suspendus;Rue de la Boulangerie;7000;Mons;3265338644;;;;jpgilain@live.be;Un petit parc bien caché dans la ville de Mons !       Sauvage à souhait, bien entretenu, un lieu de détente et de plaisir sans pareil. Il est niché au-dessus de l’ancienne boulangerie militaire, rue de la Boulangerie.       Longtemps fermé pour vandalisme, il a ré-ouvert ses portes à l’occasion de Mons 2015. Une association internationale y a effectué d’importants travaux de constructions en bois, préaux, cuisine, douche, toilettes, permettant au public de s’y déplacer, de s’y installer, de s’approprier le bois, véritable petite forêt.       Un tout petit poulailler, des parcelles potagères, des cabanes, un tunnel sous forme d’arbre couché agrémentent le séjour       De grands arbres ombragent ce merveilleux parc, créant un terrain de jeu idéal pour les enfants et un endroit de pique-nique tranquille.       Une asbl composée de citoyens montois, voisins du Jardin et amoureux du lieu, a été constituée afin d’y permettre, créer, encourager toutes sortes d’activités ludiques, culturelles ou autres.       Sont les bienvenus au Jardin Suspendu, tous les amoureux de la nature, du délassement en famille.
Mundaneum - Centre d'Archives de la Communauté française;76 Rue de Nimy;7000;Mons;3265315343;;;http://www.mundaneum.org;info@mundaneum.be;Mons Card Partner: 2€ de réduction    Espace muséal et centre d’archives, le Mundaneum explore par des expositions temporaires le projet de ses fondateurs, Paul Otlet et Henri La Fontaine : la connaissance au service de la paix mondiale !    Lieu unique en son genre, le Mundaneum abrite un patrimoine reconnu par l’Unesco. Centre d’archives et espace d’expositions temporaires, il met en valeur l’héritage et les idées de ses fondateurs, le Prix Nobel de la Paix Henri La Fontaine et le père de la science documentaire, Paul Otlet. Au tournant du 20e siècle, ces deux Belges ont imaginé un système de collecte, de classification et de recherche de toutes les connaissances du monde. Avec un objectif noble : la paix mondiale.    Aujourd’hui tourné vers la société de l’information pressentie par ses fondateurs, le Mundaneum tisse des liens entre patrimoine et innovation numérique, entre éducation et technologie, entre paix intérieure et monde qui nous entoure. Des expositions temporaires, des visites guidées, des outils digitaux, des conférences et ateliers thématiques font du Mundaneum un carrefour des savoirs, d’hier à demain !  		 - Du mercredi au vendredi de 13h00 à 17h00, le week-end et les jours fériés de 11h00 à 18h00
Musée de Nimy - Carrefour de la céramique;31 Rue Edouard Mouzin;7020;Nimy;32479358917;32476993009;;http://www.vieuxnimy.be;musee.nimy@gmail.com;Le Musée de Nimy se veut pour mission première de recueillir et de sauvegarder tout ce qui a trait à l’histoire industrielle de l’ancienne commune de Nimy.    Aujourd’hui devenu Centre de référence de la Céramique de la Région Mons-Borinage et des Départements du Nord et du Pas-de-Calais, les collections du Musée de Nimy abordent 3 grandes thématiques :    - La céramique développée plus particulièrement par la création de « la Route de la Céramique » reliant Andenne à Desvres qui fait découvrir les plus célèbres manufactures de faïence et de porcelaine de la région Mons-Borinage (Thulin, Saint-Ghislain, Wasmuël, Baudour avec comme pôle majeur la faïencerie de NIMY) et d’une partie du nord de la France (Onnaing, Saint-Amand-les-Eaux, Ferrière-la-Petite…).    - Des collections de pipes en terre de Nimy (Nihoul, Scouflaire, Croquet) et du monde ainsi que des objets du tabac.    - Des objets relatifs aux industries nimysiennes importantes (les ateliers Lebrun, les tubes de Nimy,…) et au folklore local.    Dépositaire d'une partie des collections de la section céramique de l'ancien Musée du Centenaire (Mons), le musée vous fera découvrir les plus célèbres manufactures de la Région Mons - Borinage (Baudour, Nimy, Thulin, Saint-Ghislain, Wasmuël...) et d'une partie de la France (Onnaing, St-Amand-les-Eaux, Ferrière-la-Petite...) ainsi qu'une riche collection de pipes en terre.
Cascade d'Hyon;Rue du Moulin au Bois;7022;Hyon;;;;;;Moulin-au-Bois, pont-barrage, site de la cascade, autant de dénominations pour désigner ce lieu charmant       Vous aimez les balades mais pensez avoir déjà fait le tour des beaux coins ? Détrompez-vous ! Il existe à Hyon un pont-cascade niché dans un cadre bucolique. La rivière et l’espace boisé alentour vous promettent de belles promenades au bord de l’eau, surtout que la structure du pont vient tout juste d’être rénovée.       En parlant d’histoire    C’est au confluent de la Trouille et de la rivière de Nouvelles qu’est né ce pont-cascade. À l’origine, fin du XIIe siècle, siégeait un ancien moulin domanial, le « Moulin-au-Bois ». Imaginez une digue à la place de la route actuelle, un grand vivier au lieu de la prairie et trois roues au moulin au lieu d’une, voilà à quoi ressemblait alors le site. En 1823, le moulin fut vendu par la ville de Mons et après la Première Guerre mondiale, il fut transformé en tannerie. Aujourd’hui, il ne subsiste du moulin qu’un morceau du mur le long de la rue, juste avant le pont. Mais la cascade reste l’un des emblèmes de la ville d’Hyon.
Cimetière militaire de Saint-Symphorien;Avenue de la Shangri;7030;Saint-Symphorien;3265335580;;;http://www.visitmons.be;polemuseal@ville.mons.be;Le cimetière de Saint-Symphorien, fut aménagé par les Allemands en 1916 sur un terrain appartenant à Jean Houzeau de Lehaie, éminent naturaliste belge. Ce dernier souhaitant éviter une réquisition de son terrain proposa de concéder gracieusement l'usage de sa parcelle comme cimetière militaire aux communes où se trouvaient les sépultures des soldats.       C'est probablement un de plus beaux cimetières de Belgique. Il comporte deux sections: l'une regroupant les tombes allemandes et l'autre les tombes britanniques. Cette volonté d'unir les différents soldats sur le même site est un symbole fort en temps de guerre.       C'est un endroit fort poignant où l'on se recueille avec beaucoup d'émotion. Les tombes les plus nombreuses sont celles du 4e Middlesex. Vous y trouverez aussi les tombes des soldats tombés pour la libération de la Ville de Mons en novembre 1918.       Il constitue un lieu unique, historique et chargé de souvenirs. Le cimetière est en effet particulier à deux titres:       C'est là que sont inhumés les premier et dernier soldats britanniques décédés durant la Première Guerre mondiale.       Il compte autant de tombes de soldats allemands que de soldats britanniques.
Maison Van Gogh;3 Rue du Pavillon;7033;Cuesmes;3265355611;;3265351349;;;"La maison où vécu Vincent Van Gogh, d'août 1879 à octobre 1880, a été        sauvée de la ruine dans les années 1970. Accessible au public depuis        2007, elle est devenue une ""balise"" incontournable du parcours de Van        Gogh en Europe.                 On considère que le séjour de Van Gogh dans le Borinage, où il exerce        l'activité de pasteur, fut décisif dans le choix d'être peintre.                 Lieu d'hommage, la maison est un espace privilégiant la rencontre avec        l'homme qu'il fut avant de devenir l'illustre artiste connu de tous.                 Depuis le pavillon d’accueil jusqu’à la maison proprement dite, un        parcours scénographique amène le visiteur à la découverte de la vie de        Van Gogh au moyen de plaques émaillées illustrées.                                  Classement 2 étoiles                                           Exposition: “VINCENT Van Gogh à Cuesmes d’août 1879 à          octobre 1980”                        Dès le samedi 3 août, du mardi au dimanche de 12h00 à 18h00, redécouvrez        l’exposition, “VINCENT Van Gogh à Cuesmes d’août 1879 à octobre        1980”, présentant une centaine de documents proposés par les        amis de Vincent à Cuesmes                 1. La maison, le quartier: son histoire                 2. Vincent, l’évangélisateur, ses autoportraits, ses lettres et ses        dessins de Cuesmes.                 Organisation: Pôle muséal de la Ville de Mons : +32 (0) 65355611/ F.        Godart: +32 (0) 65313649                                  Un plus: Circuit “Vincent” à Cuesmes-Flénu à pied ou vélo (soit        individuellement ou accompagnementpour petits groupes) et possibilité de        monter sur un sommet de la région à 156 m: terril du Levant chez Willy        Dréau!             D'avril à novembre, du mardi au dimanche de 12h00 à 18h00."
Maison Van Gogh de Cuesmes;3 Rue du Pavillon;7033;Cuesmes;3265355611;;;http://www.maisonvangogh.mons.be;polemuseal@ville.mons.be;L’actualité n’est pas à la fête, c’est un fait. Nous voilà contraints de fermer les portes de nos musées et expositions, parfois même avant qu’elles n’aient eu le temps d’ouvrir.    Mais la sécurité de tous reste bien entendu notre priorité. Nous gardons donc portes closes pour quelques temps. Vous pourrez compter sur notre équipe pour ponctuer vos journées de couleur, d'anecdotes, d'activités créatives... et continuer à vous offrir de belles expériences culturelles.   Toutes nos pensées vont bien entendu au personnel médical, ainsi qu’à toutes les personnes impactées de près ou de loin par cette crise sanitaire.    Pour toutes les demandes de remboursement, nous vous invitons à contacter visitMons via info.tourisme@ville.mons.be    Prenez soin de vous, et des autres.   A très bientôt !   Toute l'équipe Culture et Tourisme de la Ville de Mons     Cuesmes, petite commune de l’entité montoise, est un lieu de passage obligé pour tous les amateurs et spécialistes de l’œuvre de Van Gogh. Située en bordure de Mons, la Maison Van Gogh abrita d’août 1879 à octobre 1880 l’un des artistes les plus connus de la planète : Vincent van Gogh. C’est durant son séjour au Borinage que le prêcheur est devenu artiste. L’endroit et les paysages avoisinants s’imprègnent d’une aura teintée de références tant rurales qu'ouvrières que le peintre conservera dans son œuvre tout au long de sa vie. Un lieu de mémoire que la nouvelle scénographie s’attache à réveiller. Le parcours débute sous la forme d’une initiation lente qui commence dès l’entrée dans le jardin pour se poursuivre dans un pavillon réaménagé. La visite continue par cette petite maison modernisée pour laisser s’exprimer simplement et sobrement l’esprit de son illustre habitant. Un dispositif audio conclut la visite en resituant historiquement l’œuvre et l’artiste dans le Borinage. Un plus : Circuit “Vincent” à Cuesmes-Flénu à pied ou à vélo (soit individuellement ou accompagnement pour petits groupes) et possibilité de monter sur un sommet de la région à 156 m : le terril du Levant. La maison Van Gogh de Cuesmes est aussi accessible avec le Pass Van Gogh en vente auprès de visitMons ou directement sur ce site. Mons Card Partner : Accès libre
Collégiale Sainte-Waudru;Place du Chapitre;7000;Mons;3265395939;;;http://www.waudru.be;conservateurstewaudru@gmail.com;La Collégiale Sainte-Waudru, église de style gothique brabançon, construite à l'initiative des chanoinesses vous offre de nombreux trésors à ne surtout pas manquer tels que:    Le trésor : l'un des plus beaux ensembles d'orfèvrerie religieuse en Belgique.    Les reliquaires de Sainte Waudru : l'un contenant le corps (la châsse), l'autre la tête (le chef).    Les oeuvres de Jacques Du Broeucq (1505-1584) : maître-artiste de l'empereur Charles-Quint, il réalisa un jubé de style Renaissance dont il ne reste que les statues et bas reliefs en albâtre principalement visibles dans le choeur et le transept.    Les plus anciens vitraux: particulièrement les cinq verrières du chevet, réalisées par un maître verrier montois et offertes en 1510-1511 par l'empereur Maximilien d'Autriche.    Les sculptures: notamment les statues en pierre blanche de Saint-Michel terrassant le démon et de Sainte-Waudru.    Le Car d'or : véhicule en bois peint doré de style Louis XVI (1780/1781), il sert lors de la Procession annuelle de la Trinité (Doudou).    Un peu d'histoire:    La construction de l'actuelle collégiale a débuté en 1450 par le choeur, terminé vers 1506. Le transept fut achevé en 1527 et les travaux d'édification de la nef se prolongèrent jusqu'en 1621. Avec un plan en forme de croix latine et 29 chapelles autour de la nef principale, du transept et du choeur, le bâtiment forme un ensemble unique reconnu comme Patrimoine exceptionnel de Wallonie.    Eglise privée et personnelle des chanoinesses de Sainte-Waudru, elles avaient rêvé pour couronner leur collégiale d'une tour de 190 mètres en façade occidentale. Cette tour, dont les premières pierres furent posées vers 1549, ne fut jamais terminée. Les travaux furent définitivement arrêtés en 1686/1687.
Eglise Notre-Dame de Messines;Rue de Bertaimont;7000;Mons;3265395939;;;;info.tourisme@ville.mons.be;De Saint-Nicolas à Notre-Dame de Messines    L’église Notre-Dame de Messines s’appelait à l’origine l’église de Saint-Nicolas en Bertaimont. Tout d’abord dédiée à Saint-Nicolas, le patron des marchands, on l’a ensuite appelée Notre-Dame de Messines, car la dévotion à ce culte fut croissante dès le début du XVIIe siècle.Tout commença suite au dépôt d’un tableau représentant la Sainte Vierge dans le cimetière entourant l’église. Ce lieu est ensuite devenu un endroit de pèlerinage important, et des miracles furent constatés. Le tableau fut alors placé sur le Maître-autel en 1622.    Une histoire mouvementée    L’histoire de l’église et de la paroisse Notre-Dame de Messines n’est pas un long fleuve tranquille. Elle a débuté au XIIe siècle avec une chapelle dédiée à Saint-Nicolas,dans l’actuelle rue du Trieu. A partir du XIIIe siècle, la paroisse de Saint-Nicolas en Bertaimont fut créée à l’intérieur des remparts, à l’emplacement de l’actuel parking de la banque Dexia. Après avoir été bombardée en 1691 puis réparée, l’église dite de Messines fut fermée et vendue un siècle plus tard. L’église exista à nouveau en lieu et place de l’ancienne église des récollets, située dans la même rue de Bertaimont, qui est donc son emplacement actuel.    La ducasse de Messines    La ducasse de Messines a lieu chaque année, lors du dimanche le plus proche du 25 mars. A l’origine date de pèlerinage, elle est aujourd’hui une des fêtes patronales les plus populaires de la ville. De nos jours, cette manifestation florale se prolonge une semaine durant !
Eglise Saint-Nicolas-en-Havré;Rue d'Havré;7000;Mons;3265395939;;;;conservateurstewaudru@gmail.com;"La chapelle dédiée à Saint-Nicolas, patron des marchands, date du XIIe siècle. Elle faisait partie de l’hôpital Saint-Nicolas de la rue d’Havré. Cette chapelle, très peuplée dès le départ par une majorité de commerçants, est érigée en paroisse en 1224. Une église est ensuite bâtie au XVe siècle, mais sera malheureusement incendiée en 1664 et complètement détruite, à l’exception de sa tour. L’édifice est immédiatement reconstruit sur les plans de l’architecte du Beffroi ; Anthony.    Style et décoration    La façade et la décoration intérieure sont de style baroque. Le chœur et plus particulièrement le maître-autel baroques valent le coup d’œil. Parmi les objets dignes d’intérêt, citons la masse de la paroisse et la statue de Notre-Dame de Montserrat, qui défilent chaque année dans la procession du Doudou, la grande fête folklorique montoise.    Après les travaux…    Cachée par des échafaudages pendant plus de 20 ans, l’église Saint-Nicolas-en-Havrédévoilera bientôt ses nouveaux atours et offrira à la vue de tous des façades rénovées, un vitrail contemporain, une nouvelle toiture, ainsi qu’une tour et un clocher flambant neuf ! L’occasion idéale de (re)découvrir cette magnifique église !"
Magasin de Papier;26 Rue de la Clef;7000;Mons;3265395939;;;http://www.magasindepapier.mons.be/;;Un espace d'exposition pour les artistes montois!    Ouvert en septembre 2012, le Magasin de Papier est un espace d'exposition à caractère contemporain proposant une programmation éclectique essentiellement centrée sur la création plastique locale et régionale.    Le Magasin de Papier est un espace d'exposition à caractère contemporain proposant une programmation éclectique essentiellement centrée sur la création plastique locale et régionale.    Il s'agit pour les créateurs et plasticiens montois et de la région d'une opportunité unique de présenter leurs travaux.    De belles collaborations ont déjà vu le jour dans cet espace avec des collectifs d'artistes mais aussi avec Arts², l'école supérieure des Arts de Mons.
Maison Losseau et son centre de littérature;37, 39, 41 Rue de Nimy;7000;Mons;3265398880;;;http://www.maisonlosseau.be;reservations.losseau@gmail.com;Au centre de Mons, la Maison Losseau, joyau de l’art nouveau, a fait l’objet d’un important travail de restauration et de mise en valeur. La demeure, ainsi que les bâtiments qui la jouxtent, sont désormais accessibles au public. Au cœur de cette maison meublée, classée au Patrimoine exceptionnel de Wallonie, à laquelle sont associés les célèbres architectes Paul Saintenoy, Henri Sauvage et Charles Sarrazin, les décors floraux se déclinent avec délicatesse au travers des mosaïques, lambris, vitraux, parquets marquetés, armoires, lustres et objets divers.       Outre la maison classée, que l’avocat Léon Losseau avait conçue comme « idéale, dotée de tous les perfectionnements techniques et des raffinements artistiques», la Province de Hainaut et la Fondation Losseau vous ouvrent les portes d’un Centre d'Interprétation dont la scénographie, renvoyant à l’univers de la bibliothèque et du cabinet de curiosités, vous permet d’aborder les préoccupations et les passions de Losseau, l’Art nouveau qu’il affectionnait, sa magnifique collection de médailles et l’épisode de la découverte de l’édition originale d’Une Saison en enfer de Rimbaud.       Au deuxième étage, un riche centre de littérature hainuyère accueille étudiants, chercheurs, lecteurs intéressés par la littérature et l’histoire du Hainaut. Doté d’espaces de consultation et de lecture confortables, d’un lieu consacré à la BD et à la littérature pour la jeunesse, il présente en outre, ouverts sur le magnifique jardin de la maison, les fonds Léon Losseau, Charles Plisnier et Claire Lejeune dans un environnement complètement rénové.       Visites guidées en plusieurs langues sur réservation par email reservations.losseau@gmail.com
Muséum régional des Sciences naturelles;7 Rue des Gaillers;7000;Mons;3265401140;;;http://environnement.wallonie.be/museum-mons;bertrand.pasture@spw.wallonie.be;Fermeture momentanée pour travaux dès le 2 avril 2019    Mons Card Partner: Accès libre    Le Muséum régional des Sciences naturelles aborde de nombreux aspects liés à la nature, à l’environnement et aux sciences naturelles.    Oiseaux, Mammifères, Invertébrés, y sont exposés au fil d’une inestimable collection de plusieurs centaines de pièces dont quelques rarissimes comme un Macaque albinos des Philippines ou encore un esturgeon de 2,1 mètres pêché jadis dans la Haine ! Des expositions thématiques sont également réalisées chaque année (voir le programme sur le site Internet du Musée). Des animations et des visites guidées pédagogiques sont organisées gratuitement pour les écoles et les groupes (sur réservation). Ne manquez pas non plus le squelette du géant Constantin (2 mètres 58 et 165 kilos).    Le Musée est une institution dépendant du Service Public de Wallonie.    Le musée sera ouvert chaque 1er dimanche du mois.  		 Des périodes de fermeture sont toutefois possibles. Il est suggéré de vérifier préalablement l’ouverture du Musée.
Pass Van Gogh;;7000;Mons;3265335580;;;;info.tourisme@ville.mons.be;Grâce au Pass Van Gogh (accessible à partir de 12 ans), découvrez l’univers de Van Gogh à un prix avantageux. Pour seulement 8€ par personne, vous avez accès aux quatre sites suivants :       * Le site de Marcasse : c’est sur le site du charbonnage de Marcasse que Vincent van Gogh est descendu en avril 1879 pour se rendre compte des conditions de travail des mineurs. (Site de Marcasse - Sentier de Saint-Ghislain, 7, 7340 Colfontaine)       * La maison Van Gogh de Wasmes : balise incontournable des « Routes Européennes de Van Gogh » l’artiste y séjourna de décembre 1878 à juillet 1879 (Rue Wilson, 221, 7340 Wasmes)       * La Maison de Cuesmes : dite du Marais, l’artiste y a vécu jusqu’en 1880. Depuis le pavillon d’accueil jusqu’à la maison proprement dite, un parcours scénographique amène le visiteur à la découverte de la vie de Van Gogh. (Rue du Pavillon, 3, 7033 Cuesmes)       * L’ Artothèque : un site où l’on peut admirer une œuvre de Van Gogh, « Les Bêcheurs » (Rue Claude de Bettignies, 1, 7000 Mons)       Par ailleurs, sur réservation préalable auprès de visitMons, vous pouvez obtenir la location gratuite d’un vélo et d’un GPS… pour partir sur les traces de Van Gogh.
Château d'Havré;30 Rue du Château;7021;Havré;3265872535;;;http://www.chateaudhavre.be;info@chateaudhavre.net;Attesté dès 1266, le site a connu de nombreux sièges qui ont modifié la disposition du domaine au fil du temps. En 1518, à la suite d’un échange, le château passe aux mains de la Maison de Croÿ et accueille le chirurgien Ambroise Paré qui y applique, contre l’usage courant, une ligature des artères, sauvant ainsi Charles Philippe de Croÿ (1569).    A la fin du XVIe, le château est en piteux état et Charles Alexandre de Croÿ, marquis d’Havré, imagine un ensemble majestueux et coiffe le donjon octogonal (XIVe s.) d’un joli bulbe ardoisé (1603). Les lieux, transformés en opulente demeure, voient défiler des visiteurs de marque : Van Dyck, Rubens, Marie de Médicis, l’Infante Isabelle, Marie de Hongrie, le duc de Malborough, etc...    Après la Révolution, le château n’est plus habité par la famille de Croÿ qui le délaisse et l’abandonne définitivement dès 1839. En 1919, le chanoine Puissant tente un sauvetage du site mais la tâche dépasse ses moyens. Dès 1930, des éboulements se succèdent et l’existence du domaine en devient menacée. Heureusement, sous l’impulsion d’Emile Poumon, historien du cru, des habitants se constituent en asbl (1978) et y débutent un long travail de sauvegarde.  		 Visite guidée du château pour les groupes sur simple rendez-vous.
Abbaye de Saint-Denis;4 Rue de la Filature;7034;Obourg;3265730091;;;http://www.abbaye-st-denis.be;info@abbaye-st-denis.be;L’Abbaye de Saint-Denis, au cœur d’un parc arboré de 15 hectares, est sans conteste l’un des lieux les plus pittoresques de la région de Mons. Une eau cristalline coule à travers bois et étangs qu'elle étanche et approvisionne dans le giron de l'abbaye. De part et d'autre de l'étroite vallée, les prairies et les bois occupent les versants vallonnés.    Sur le site vous ne manquerez pas l'ancien moulin abbatial et sa monumentale chute d'eau. Le village intègre dans le décor naturel sans l'entraver, les vieilles fermes et les maisons plus modestes de manouvriers employés autrefois dans les carrières de quartzite local.    Le mur d'enceinte de l’abbaye est toujours debout de même que les portes en pierre sculptée et la plupart des bâtiments de l'ancienne abbaye bénédictine fondée en 1081.    Des moines ont occupé le site jusqu'à la fin du XVIIIe siècle avant qu’une importante filature de coton s’y installe jusqu’en 1958.    L’Abbaye de Saint-Denis, un site pour tous vos évènements !    Dans le cadre rénové de l'ancien cloître des convers, nous vous proposons une salle de 20 à 200 personnes pour y organiser : réunions, séminaires, conférences, expositions culturelles ou commerciales, cocktails, fêtes familiales...    L’équipe de l’Abbaye sont à votre disposition pour l'élaboration de vos réunions ou de toute manifestation en accord avec les lieux historiques du site de l'Abbaye.    Un lieu à ne …surtout pas manquer
BAM;8 Rue Neuve;7000;Mons;3265405330;;;http://www.bam.mons.be;;"L’actualité n’est pas à la fête, c’est un fait. Nous voilà contraints de fermer les portes de nos musées et expositions, parfois même avant qu’elles n’aient eu le temps d’ouvrir.    Mais la sécurité de tous reste bien entendu notre priorité. Nous gardons donc portes closes pour quelques temps. Vous pourrez compter sur notre équipe pour ponctuer vos journées de couleur, d'anecdotes, d'activités créatives... et continuer à vous offrir de belles expériences culturelles.   Toutes nos pensées vont bien entendu au personnel médical, ainsi qu’à toutes les personnes impactées de près ou de loin par cette crise sanitaire.    Pour toutes les demandes de remboursement, nous vous invitons à contacter visitMons via info.tourisme@ville.mons.be    Prenez soin de vous, et des autres.   A très bientôt !   Toute l'équipe Culture et Tourisme de la Ville de Mons     Le BAM (Beaux-Arts Mons) est conçu comme une expérience unique, un espace de découvertes de la création artistique sous toutes ses formes, un lieu de vie aussi où se succèdent toute l'année des événements. Ce projet architectural résolument contemporain allie le fonctionnel et la rigueur muséale à l'esthétique puisque l'architecture du musée laisse la part belle aux espaces de circulation lumineux prenant le parti de la transparence. Des grandes expositions Chaque année, le BAM accueille deux expositions de prestige. Présentées sur près de 2.000 m², ces expositions sont l’occasion de découvrir un artiste, un mouvement artistique ou une thématique en lien avec nos collections. Fidèle à ses valeurs d’ouverture à tous les types de publics, notamment les moins favorisés, le BAM veille à organiser une série d’activités jalonnant les grandes expositions. Ainsi, le visiteur pourra assister à des concerts dans les salles d’exposition, des spectacles de danse, des parcours littéraires mais se verra aussi proposer des activités diverses dans des infrastructures partenaires telles que diffusion de films, spectacles de théâtre, etc. Les collections Riche de plus 15.000 œuvres d’art, la collection du musée se concentre plus particulièrement sur la période du XXe siècle. L’ensemble de ce patrimoine est conservé au sein de l’Artothèque ; la réserve de tous les musées de la Ville de Mons. Outre les expositions d’envergure internationale, les collections permanentes trouvent également leur place dans ce bel écrin où l’on peut admirer, une sélection d’œuvres illustrant la diversité et la qualité des collections muséales, très représentatives de l’art belge et étranger de la seconde moitié du XXe siècle.  Mons Card Partner: Accès gratuit.     En ce moment au BAM : L’École de Mons. Deux siècles de vie artistique (BAM)  Du 07.03.2020 au 16.08.2020  À Mons, la création artistique est en effervescence depuis deux siècles. De nombreux artistes, montois ou non, trouvent dans la cité du Doudou une ville particulièrement sensible à l’art. Une académie, un musée, des espaces d’exposition,… voient le jour dès le début du XIXe siècle pour transformer Mons en pôle culturel. L’art est une tradition féconde et bien vivante à Mons ! Au fil de cette exposition, (re)découvrez le patrimoine artistique de Mons à travers environ 150 œuvres. Pour la toute première fois, une exposition témoigne de la manière dont la cité du Doudou s’est imposée depuis deux siècles comme une ville de culture, défendant l’enseignement artistique, les musées et les artistes actifs sur le territoire. Y a-t-il bel et bien une « école de Mons » qui se réclamerait d’une doctrine ? Au début du 19e siècle, tout comme Bruxelles, Gand ou Anvers, Mons possède une académie pour former les artistes, un musée pour acquérir les œuvres, et organise un salon tous les trois ans. Fort de ces institutions, un véritable courant artistique va naître et se développer tout au long du 20e siècle, grâce à de nombreux artistes. Bien qu’ils aient eu une carrière importante, la plupart ont été injustement oubliés. Cette exposition inédite permet de retracer l’histoire mouvementée et foisonnante de cette « école de Mons » : parcourant deux siècles d’art, elle offre un vaste et éclectique ensemble d’œuvres au sein duquel des groupes d’artistes partageant des liens narratifs se détachent. À travers plus de 150 pièces comprenant peintures, sculptures, dessins, mais aussi photographies, vidéo et même installations, nous découvrons une centaine d’artistes ayant été – ou étant toujours – actifs à Mons. Qu’ils en soient originaires ou seulement de passage, leurs œuvres ont été sélectionnées par le commissaire Denis Laoureux en fonction d’un thème ou d’une période révélant des liens esthétiques qui rythment les 200 ans couverts par l’exposition. Ainsi, un hommage à la tradition de la gravure montoise, grâce à des chefs d’ateliers très actifs comme Auguste Danse ou Gabriel Belgeonne, qui ont exposé partout en Europe et formé de nombreux élèves. Aux côtés d’artistes renommés tels Anto-Carte, Fernand Dumont ou Marcel Lefrancq, l’exposition tient également à rendre justice à des créateurs virtuoses à l’œuvre foisonnante, comme Antoine Bourlard et Cécile Douard, Victor Dieu et bien d’autres, parfois relégués au statut d’ « artistes de province ». L’art contemporain n’est pas oublié – bien qu’arrivant tardivement à Mons, suite à la transformation de l’académie en école supérieure, en 1976. Des artistes tels que Philippe Bouillon (Prix de la Jeune Peinture Belge 1994), Pierre Liebaert (Prix du Hainaut 2017) ou le collectif Void, qui présentera une installation seront également exposés.     Pour acheter vos tickets pour l'exposition, rendez-vous sur l'onglet ""Réserver"" sur la page d'accueil de notre site."
Beffroi de Mons;Rampe du Château;7000;Mons;3265405325;;;http://www.beffroi.mons.be;;"L’actualité n’est pas à la fête, c’est un fait. Nous voilà contraints de fermer les portes de nos musées et expositions, parfois même avant qu’elles n’aient eu le temps d’ouvrir.    Mais la sécurité de tous reste bien entendu notre priorité. Nous gardons donc portes closes pour quelques temps. Vous pourrez compter sur notre équipe pour ponctuer vos journées de couleur, d'anecdotes, d'activités créatives... et continuer à vous offrir de belles expériences culturelles.   Toutes nos pensées vont bien entendu au personnel médical, ainsi qu’à toutes les personnes impactées de près ou de loin par cette crise sanitaire.    Pour toutes les demandes de remboursement, nous vous invitons à contacter visitMons via info.tourisme@ville.mons.be    Prenez soin de vous, et des autres.   A très bientôt !   Toute l'équipe Culture et Tourisme de la Ville de Mons     Un musée tout en hauteur! Le contenu des espaces d'exposition conduira le visiteur à voyager dans le temps, aux sources de sa construction, à comprendre son rôle dans les différentes époques traversées, mais aussi à faire voyager en altitude à la découverte de notre région. L'histoire du Beffroi de Mons et sa reconnaissance par l'Unesco y occupent une place centrale. Au cœur de l'exposition, des objets issus des collections montoises, des panneaux, des structures interactives, racontent l'histoire atypique de ce bâtiment exceptionnel. Sur une surface de 400m² d'espaces muséaux répartis sur plusieurs niveaux, le visiteur sera amené à découvrir le Beffroi sous différentes facettes. Un dispositif innovant permettra de remonter le temps et de (re)découvrir un magnifique panorama. Le Beffroi de Mons, unique en Belgique! Seul Beffroi baroque de Belgique, il représente le symbole de la ville. Construit entre 1661 et 1672 par l'architecte et sculpteur Louis Ledoux et l'ingénieur-arpenteur Vincent Anthony, il est classé au ""Patrimoine mondial"" par l’Unesco depuis 1999. L'édifice s'illustre par un style baroque sobre aux décors classiques et aux bulbes caractéristiques. 365 marches, 87 mètres de haut, 49 cloches, un plan carré de 14 mètres de côté, des façades quasi identiques, des éléments d’ordres ionique, dorique et corinthien, quatre imposants cadrans d’horloge, un ensemble de toitures d’ardoises naturelles, un bulbe central qui prolonge la toiture, de petites lucarnes surmontées d’épis dorés et une imposante girouette dorée à la feuille, toutes ses caractéristiques en font un édifice plus qu'unique. Pour votre confort de visite, la dernière montée au Beffroi se fera chaque jour à 17h15. La visite dure en moyenne 45 min.     Mons Card Partner: Accès gratuit."
